TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ,Description,FALL
0.01,1,-0.053,-1.004,0.0,-0.0572958,0.4010706,0.3437748,87.78862475999998,-2.85906042,-20.20249908,T01,0
0.0199999999999999,2,-0.054,-1.007,0.0,-0.0572958,0.2291832,0.2291832,87.78862475999998,-2.86479,-20.1967695,T01,0
0.03,3,-0.056,-1.009,-0.004,-0.4583664000000001,0.286479,0.1718874,87.78289518,-2.86479,-20.1967695,T01,0
0.0399999999999999,4,-0.053,-1.011,-0.009,-0.9167328,0.4583664000000001,0.2291832,87.77143602000002,-2.87051958,-20.19103992,T01,0
0.0499999999999999,5,-0.052,-1.012,-0.011,-1.0886202,0.3437748,0.4010706,87.81727266,-2.84187168,-20.19103992,T01,0
0.0599999999999999,6,-0.053,-1.008,-0.012,-1.0886202,0.1145916,0.4010706,87.8058135,-2.84187168,-20.19103992,T01,0
0.0699999999999999,7,-0.053,-1.006,-0.014,-1.145916,0.1718874,0.1718874,87.79435434000001,-2.84760126,-20.19103992,T01,0
0.0799999999999999,8,-0.052,-1.005,-0.013,-1.3178034,0.4583664000000001,0.0572958,87.78289518,-2.84760126,-20.18531034,T01,0
0.0899999999999999,9,-0.053,-1.001,-0.011,-1.145916,0.3437748,0.1718874,87.77143602000002,-2.84760126,-20.17958076,T01,0
0.0999999999999999,10,-0.055,-1.0,-0.011,-0.9167328,-0.0572958,0.1718874,87.83446140000002,-2.88197874,-20.19103992,T01,0
0.1099999999999999,11,-0.059,-1.001,-0.004,-0.5156622000000001,-0.5156622000000001,0.1145916,87.82873182,-2.88770832,-20.19103992,T01,0
0.1199999999999999,12,-0.059,-1.006,-0.004,-0.572958,-0.286479,0.1145916,87.82300224,-2.88770832,-20.1967695,T01,0
0.1299999999999999,13,-0.06,-1.009,-0.003,-0.6302538000000001,-0.1145916,0.0572958,87.81727266,-2.88770832,-20.1967695,T01,0
0.1399999999999999,14,-0.058,-1.015,-0.008,-0.9740286,0.1718874,0.0,87.8058135,-2.88770832,-20.1967695,T01,0
0.15,15,-0.056,-1.015,-0.014,-1.3750992,0.2291832,0.0,87.8058135,-2.8934379,-20.1967695,T01,0
0.1599999999999999,16,-0.056,-1.011,-0.011,-1.2032118,0.4010706,0.0572958,87.78862475999998,-2.8934379,-20.19103992,T01,0
0.1699999999999999,17,-0.057,-1.007,-0.009,-1.0886202,0.9740286,0.0572958,87.77716559999998,-2.8934379,-20.17958076,T01,0
0.18,18,-0.058,-1.005,-0.01,-1.145916,1.2605076000000002,0.0,87.76570644,-2.8934379,-20.168121600000006,T01,0
0.1899999999999999,19,-0.055,-1.001,-0.013,-1.0313244,1.0886202,0.0,87.75424728,-2.8934379,-20.15666244,T01,0
0.1999999999999999,20,-0.05,-0.998,-0.0069999999999999,-0.572958,0.4010706,0.0,87.96051216,-2.79030546,-20.168121600000006,T01,0
0.2099999999999999,21,-0.047,-1.002,-0.003,-0.5156622000000001,-0.3437748,0.0572958,87.95478258,-2.79030546,-20.17385118,T01,0
0.2199999999999999,22,-0.047,-1.008,-0.002,-0.7448454000000001,-0.6302538000000001,0.1145916,87.94905299999998,-2.79030546,-20.17958076,T01,0
0.2299999999999999,23,-0.049,-1.011,-0.005,-1.0886202,-0.4583664000000001,0.0572958,87.93759384,-2.79030546,-20.18531034,T01,0
0.2399999999999999,24,-0.053,-1.013,-0.009,-1.432395,-0.3437748,0.0572958,87.92040510000002,-2.79030546,-20.18531034,T01,0
0.2499999999999999,25,-0.055,-1.014,-0.012,-1.5469866,-0.2291832,0.0,87.91467551999996,-2.8074942000000003,-20.19103992,T01,0
