TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ,Description,FALL
0.01,1,-0.059,-1.007,-0.05,-3.6096354,-7.161975,0.8594370000000001,87.92613467999998,-3.0939732,-53.124665760000006,T02,0
0.02,2,-0.051,-1.002,-0.06,-5.3858052,-4.6409598,0.8594370000000001,87.87456846,-3.0997027800000003,-53.1705024,T02,0
0.03,3,-0.0579999999999999,-0.999,-0.066,-5.5003968,-4.8128472,0.9167328,87.82300224,-3.11116194,-53.22206862,T02,0
0.04,4,-0.062,-0.999,-0.07,-5.5003968,-4.3544808,0.9740286,87.77143602000002,-3.1226211000000004,-53.26217568,T02,0
0.05,5,-0.061,-0.999,-0.076,-5.443101,-3.8388186,1.145916,87.68549232000002,-3.1398098400000003,-53.29082358000001,T02,0
0.06,6,-0.065,-1.003,-0.065,-4.9274388,-2.578311,1.432395,87.6339261,-3.151269,-53.31947147999999,T02,0
0.0699999999999999,7,-0.059,-1.01,-0.063,-5.2139178,-0.2291832000000001,1.6042823999999998,87.58235988,-3.16845774,-53.31947147999999,T02,0
0.08,8,-0.057,-1.015,-0.077,-6.016058999999999,0.8021411999999999,1.4896908000000002,87.5193345,-3.18564648,-53.3137419,T02,0
0.09,9,-0.055,-1.008,-0.096,-7.0473834,0.8594370000000001,1.145916,87.45057954,-3.19710564,-53.30228274000001,T02,0
0.0999999999999999,10,-0.047,-0.997,-0.105,-6.4744254,0.0,1.0886202,87.32452878000002,-3.19710564,-53.27936442,T02,0
0.11,11,-0.045,-0.993,-0.1,-5.6149884000000005,0.286479,1.145916,87.26723297999996,-3.2085648000000004,-53.27936442,T02,0
0.12,12,-0.043,-0.993,-0.102,-6.0733548,0.572958,1.145916,87.20420759999998,-3.22002396,-53.27363484,T02,0
0.13,13,-0.044,-0.984,-0.118,-6.6463128000000005,0.0572958,1.2032118,87.13545264000004,-3.2372127,-53.27363484,T02,0
0.14,14,-0.037,-0.987,-0.1119999999999999,-6.130650599999999,-0.5156622000000001,1.3178034,87.07242726,-3.2486718599999995,-53.27936442,T02,0
0.15,15,-0.035,-1.002,-0.1009999999999999,-8.021412000000002,-1.3750992,1.3750992,86.96356524000002,-3.25440144,-53.27936442,T02,0
0.16,16,-0.04,-1.004,-0.095,-9.3965112,-2.4064236,1.145916,86.87189196,-3.2658606,-53.30801232,T02,0
